country,sex,year,not_classified_000
gtm,f,2013,342.1579895019531
gin,mf,2009,269.9649963378906
gin,m,2009,188.02499389648438
gin,f,2009,81.94000244140625
gin,mf,2010,278.20098876953125
gin,m,2010,193.14199829101562
gin,f,2010,85.05899810791016
gin,mf,2011,269.2080078125
gin,m,2011,187.6199951171875
gin,f,2011,81.58799743652344
gin,mf,2012,277.5530090332031
gin,m,2012,193.43600463867188
gin,f,2012,84.11699676513672
hti,mf,1990,35.970001220703125
hti,m,1990,19.270000457763672
hti,f,1990,16.700000762939453
hnd,mf,2008,0.06199999898672104
hnd,m,2008,0.0
hnd,f,2008,0.06199999898672104
hnd,mf,2010,0.27399998903274536
hnd,m,2010,0.0
hnd,f,2010,0.27399998903274536
hun,mf,1992,57.0
hun,m,1992,57.0
hun,f,1992,0.0
hun,mf,1993,57.0
hun,m,1993,57.0
hun,f,1993,0.0
hun,mf,1994,59.0
hun,m,1994,59.0
hun,f,1994,0.0
hun,mf,1995,56.0
hun,m,1995,56.0
hun,f,1995,0.0
hun,mf,2014,15.652999877929688
hun,m,2014,7.999000072479248
hun,f,2014,7.6539998054504395
isl,mf,2000,0.050999999046325684
