country,sex,year,total_self_employed_workers_a_b_c_d
bwa,f,1984,62.70000076293945
bwa,mf,1994,33.79999923706055
bwa,m,1994,32.79999923706055
bwa,f,1994,35.099998474121094
bwa,mf,2006,39.5
bwa,m,2006,37.79999923706055
bwa,f,2006,41.400001525878906
bwa,mf,2010,15.600000381469727
bwa,m,2010,13.399999618530273
bwa,f,2010,18.200000762939453
bra,mf,1990,34.20000076293945
bra,m,1990,35.29999923706055
bra,f,1990,32.0
bra,mf,1992,39.400001525878906
bra,m,1992,39.099998474121094
bra,f,1992,40.0
bra,mf,1993,39.20000076293945
bra,m,1993,38.900001525878906
bra,f,1993,39.599998474121094
bra,mf,1995,39.900001525878906
bra,m,1995,40.0
bra,f,1995,39.79999923706055
bra,mf,1996,38.29999923706055
bra,m,1996,39.400001525878906
bra,f,1996,36.70000076293945
bra,mf,2000,30.299999237060547
bra,m,2000,34.20000076293945
bra,f,2000,24.0
bra,mf,2001,37.900001525878906
bra,m,2001,39.900001525878906
bra,f,2001,35.099998474121094
bra,mf,2002,38.0
bra,m,2002,39.70000076293945
bra,f,2002,35.599998474121094
bra,mf,2003,37.900001525878906
bra,m,2003,39.900001525878906
bra,f,2003,35.20000076293945
bra,mf,2004,37.099998474121094
bra,m,2004,39.099998474121094
bra,f,2004,34.5
bra,mf,2005,32.599998474121094
bra,m,2005,36.099998474121094
bra,f,2005,27.899999618530273
bra,mf,2006,31.700000762939453
bra,m,2006,35.20000076293945
bra,f,2006,27.0
bra,mf,2007,30.799999237060547
bra,m,2007,34.0
bra,f,2007,26.299999237060547
bra,mf,2008,29.700000762939453
bra,m,2008,32.70000076293945
bra,f,2008,25.5
bra,mf,2009,29.399999618530273
bra,m,2009,32.599998474121094
bra,f,2009,25.100000381469727
bra,mf,2011,27.899999618530273
bra,m,2011,31.700000762939453
bra,f,2011,22.600000381469727
bra,mf,2012,27.399999618530273
bra,m,2012,31.299999237060547
bra,f,2012,22.299999237060547
bra,mf,2013,26.799999237060547
bra,m,2013,30.899999618530273
bra,f,2013,21.399999618530273
vgb,mf,1991,12.800000190734863
vgb,m,1991,16.299999237060547
vgb,f,1991,8.399999618530273
brn,mf,1991,5.099999904632568
brn,m,1991,5.599999904632568
brn,f,1991,3.9000000953674316
bgr,mf,2000,16.299999237060547
bgr,m,2000,19.399999618530273
bgr,f,2000,12.899999618530273
bgr,mf,2001,15.100000381469727
bgr,m,2001,18.299999237060547
bgr,f,2001,11.600000381469727
bgr,mf,2002,15.100000381469727
bgr,m,2002,17.799999237060547
bgr,f,2002,12.100000381469727
bgr,mf,2003,15.899999618530273
bgr,m,2003,19.0
bgr,f,2003,12.300000190734863
bgr,mf,2004,15.800000190734863
bgr,m,2004,18.700000762939453
bgr,f,2004,12.600000381469727
bgr,mf,2005,14.0
bgr,m,2005,16.600000381469727
bgr,f,2005,11.100000381469727
bgr,mf,2006,13.100000381469727
bgr,m,2006,15.899999618530273
bgr,f,2006,10.100000381469727
bgr,mf,2007,12.399999618530273
bgr,m,2007,15.100000381469727
bgr,f,2007,9.399999618530273
bgr,mf,2008,12.399999618530273
bgr,m,2008,14.699999809265137
bgr,f,2008,9.800000190734863
bgr,mf,2009,12.5
bgr,m,2009,14.800000190734863
bgr,f,2009,9.800000190734863
bgr,mf,2010,12.800000190734863
bgr,m,2010,15.0
bgr,f,2010,10.399999618530273
bgr,mf,2011,12.100000381469727
bgr,m,2011,14.5
bgr,f,2011,9.399999618530273
bgr,mf,2012,11.600000381469727
bgr,m,2012,14.100000381469727
bgr,f,2012,8.800000190734863
bgr,mf,2013,12.100000381469727
bgr,m,2013,14.899999618530273
bgr,f,2013,9.100000381469727
bgr,mf,2014,12.5
bgr,m,2014,15.300000190734863
