country,sex,year,own_account_workers_b
bra,m,2007,24.799999237060547
bra,f,2007,16.299999237060547
bra,mf,2008,20.200000762939453
bra,m,2008,23.5
bra,f,2008,15.800000190734863
bra,mf,2009,20.5
bra,m,2009,23.700000762939453
bra,f,2009,16.100000381469727
bra,mf,2011,21.0
bra,m,2011,25.0
bra,f,2011,15.5
bra,mf,2012,20.700000762939453
bra,m,2012,24.5
bra,f,2012,15.5
bra,mf,2013,20.600000381469727
bra,m,2013,24.5
bra,f,2013,15.300000190734863
vgb,mf,1991,6.699999809265137
vgb,m,1991,8.699999809265137
vgb,f,1991,4.099999904632568
brn,mf,1991,3.700000047683716
brn,m,1991,4.099999904632568
brn,f,1991,2.799999952316284
bgr,mf,2000,12.300000190734863
bgr,m,2000,14.899999618530273
bgr,f,2000,9.199999809265137
bgr,mf,2001,10.0
bgr,m,2001,11.899999618530273
bgr,f,2001,7.800000190734863
bgr,mf,2002,10.0
bgr,m,2002,11.899999618530273
bgr,f,2002,8.0
bgr,mf,2003,10.199999809265137
bgr,m,2003,12.5
bgr,f,2003,7.699999809265137
bgr,mf,2004,9.899999618530273
bgr,m,2004,12.100000381469727
bgr,f,2004,7.300000190734863
bgr,mf,2005,8.600000381469727
bgr,m,2005,10.5
bgr,f,2005,6.5
bgr,mf,2006,7.900000095367432
bgr,m,2006,9.600000381469727
bgr,f,2006,6.0
bgr,mf,2007,7.199999809265137
bgr,m,2007,8.800000190734863
bgr,f,2007,5.400000095367432
bgr,mf,2008,7.699999809265137
bgr,m,2008,9.199999809265137
bgr,f,2008,6.0
bgr,mf,2009,8.0
bgr,m,2009,9.5
bgr,f,2009,6.199999809265137
bgr,mf,2010,8.0
bgr,m,2010,9.199999809265137
bgr,f,2010,6.5
bgr,mf,2011,7.5
bgr,m,2011,8.899999618530273
bgr,f,2011,5.800000190734863
bgr,mf,2012,7.199999809265137
bgr,m,2012,8.800000190734863
bgr,f,2012,5.5
bgr,mf,2013,7.599999904632568
bgr,m,2013,9.100000381469727
bgr,f,2013,5.900000095367432
bgr,mf,2014,8.0
bgr,m,2014,9.699999809265137
bgr,f,2014,6.099999904632568
bfa,mf,1985,30.299999237060547
bfa,m,1985,49.900001525878906
bfa,f,1985,10.0
bfa,mf,1994,26.0
