country,sex,year,not_classified_percentage
hun,m,1995,2.700000047683716
hun,f,1995,0.0
hun,mf,2014,0.4000000059604645
hun,m,2014,0.4000000059604645
hun,f,2014,0.4000000059604645
isl,mf,2000,0.0
isl,m,2000,0.10000000149011612
isl,f,2000,0.0
isl,mf,2003,0.6000000238418579
isl,m,2003,0.5
isl,f,2003,0.6000000238418579
isl,mf,2004,0.6000000238418579
isl,m,2004,0.699999988079071
isl,f,2004,0.5
isl,mf,2005,1.2000000476837158
isl,m,2005,1.0
isl,f,2005,1.5
isl,mf,2006,0.699999988079071
isl,m,2006,0.800000011920929
isl,f,2006,0.6000000238418579
isl,mf,2007,0.5
isl,m,2007,0.4000000059604645
isl,f,2007,0.6000000238418579
isl,mf,2008,0.6000000238418579
isl,m,2008,0.5
isl,f,2008,0.699999988079071
isl,mf,2009,0.6000000238418579
